sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
NF,NORFOLK,1,,1.00,UNCHECKED,UNREVIEWED,,0,42074117,Norfolk,Geography,MAPS_TO,,<auto>,1658924392211,
NL,NEDERLAND,1,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1658928831618,42032171,Netherlands,Geography,MAPS_TO,,Stijn Dupulthys,1658928830353,
AF,AFGHANISTAN,1,,0.29,UNCHECKED,UNREVIEWED,,0,42046538,Leighan,Geography,MAPS_TO,,<auto>,1658924392249,
TT,TRINIDAD EN TOBAGO,1,,0.67,UNCHECKED,UNREVIEWED,,0,42080056,Trinidad,Geography,MAPS_TO,,<auto>,1658924392312,
AD,ANDORRA,1,,1.00,UNCHECKED,UNREVIEWED,,0,42021536,Andorra,Geography,MAPS_TO,,<auto>,1658924392341,
CA,CANADA,1,,1.00,UNCHECKED,UNREVIEWED,,0,41915371,Canada,Geography,MAPS_TO,,<auto>,1658924392364,
LK,SRI LANKA,1,,0.50,UNCHECKED,UNREVIEWED,,0,41977831,Lankau,Geography,MAPS_TO,,<auto>,1658924392370,
JP,JAPAN,1,,1.00,UNCHECKED,UNREVIEWED,,0,42006858,Japan,Geography,MAPS_TO,,<auto>,1658924392376,
SA,SAOEDI-ARABIË,1,,0.32,UNCHECKED,UNREVIEWED,,0,42060200,Arabi,Geography,MAPS_TO,,<auto>,1658924392406,
LA,LAOS,1,,0.89,UNCHECKED,UNREVIEWED,,0,41938456,Cilaos,Geography,MAPS_TO,,<auto>,1658924392422,
PF,FRANS-POLINESIË,1,,0.39,UNCHECKED,UNREVIEWED,,0,41966294,Villers-Pol,Geography,MAPS_TO,,<auto>,1658924392427,
BY,WIT-RUSLAND,1,,0.56,UNCHECKED,UNREVIEWED,,0,41960962,Saint-Rustice,Geography,MAPS_TO,,<auto>,1658924392459,
CU,CUBA,1,,1.00,UNCHECKED,UNREVIEWED,,0,42064397,Cuba,Geography,MAPS_TO,,<auto>,1658924392466,
GI,GIBRALTAR,1,,1.00,UNCHECKED,UNREVIEWED,,0,42067223,Gibraltar,Geography,MAPS_TO,,<auto>,1658924392505,
GH,GHANA,1,,0.71,UNCHECKED,UNREVIEWED,,0,42049864,Ranaghan,Geography,MAPS_TO,,<auto>,1658924392603,
TW,TAIWAN,1,,0.91,UNCHECKED,UNREVIEWED,,0,42007173,Taiwa,Geography,MAPS_TO,,<auto>,1658924392635,
TZ,TANZANIA,1,,0.84,UNCHECKED,UNREVIEWED,,0,42071886,Manzanita,Geography,MAPS_TO,,<auto>,1658924392637,
TC,TURKS- EN CAICOSEILANDEN,1,,0.32,UNCHECKED,UNREVIEWED,,0,41962366,Seillans,Geography,MAPS_TO,,<auto>,1658924392653,
CF,CENTRAAL-AFRIKAANSE REPUBLIEK,1,,0.39,UNCHECKED,UNREVIEWED,,0,42076704,Republic,Geography,MAPS_TO,,<auto>,1658924392662,
BJ,BENIN,1,,0.69,UNCHECKED,UNREVIEWED,,0,41891545,Menin,Geography,MAPS_TO,,<auto>,1658924392667,
SJ,SPITSBERGEN EN JAN MAYEN,1,,0.51,UNCHECKED,UNREVIEWED,,0,41891290,Hertsberge,Geography,MAPS_TO,,<auto>,1658924392671,
MC,MONACO,1,,0.79,UNCHECKED,UNREVIEWED,,0,42000771,Montemonaco,Geography,MAPS_TO,,<auto>,1658924392721,
NG,NIGERIA,1,,0.73,UNCHECKED,UNREVIEWED,,0,42024499,Geria,Geography,MAPS_TO,,<auto>,1658924392782,
LT,LITOUWEN,1,,0.87,UNCHECKED,UNREVIEWED,,0,42032838,Drouwen,Geography,MAPS_TO,,<auto>,1658924392793,
EH,WESTELIJKE SAHARA,1,,0.61,UNCHECKED,UNREVIEWED,,0,42034688,Slijkenburg,Geography,MAPS_TO,,<auto>,1658924392824,
KR,ZUID-KOREA,1,,0.46,UNCHECKED,UNREVIEWED,,0,42021538,South Holland,Geography,MAPS_TO,,<auto>,1658924392824,
VG,BRITSE MAAGDENEILANDEN,1,,0.57,UNCHECKED,UNREVIEWED,,0,42035379,Agden,Geography,MAPS_TO,,<auto>,1658924392965,
